,year,top5Name,rank,points,pointsPct
115,2019,Ferrari,2,504.0,23.55140186915888
116,2019,McLaren,4,145.0,6.775700934579438
117,2019,Mercedes,1,739.0,34.53271028037383
118,2019,Red Bull,3,417.0,19.485981308411212
119,2019,Renault,5,91.0,4.252336448598131
120,2019,Rest,40,244.0,11.401869158878505
121,2020,McLaren,4,202.0,11.649365628604382
122,2020,Mercedes,1,573.0,33.04498269896194
123,2020,Racing Point,3,210.0,12.110726643598616
124,2020,Red Bull,2,319.0,18.39677047289504
125,2020,Renault,5,181.0,10.43829296424452
126,2020,Rest,40,249.0,14.359861591695502
127,2021,Alpine F1 Team,5,155.0,7.021517553793885
128,2021,Ferrari,3,323.5,14.65458663646659
129,2021,McLaren,4,275.0,12.45753114382786
130,2021,Mercedes,1,613.5,27.79161947904869
131,2021,Red Bull,2,585.5,26.52321630804077
132,2021,Rest,40,255.0,11.551528878822198
133,2022,Alpine F1 Team,4,173.0,7.361702127659575
134,2022,Ferrari,2,554.0,23.574468085106385
135,2022,McLaren,5,159.0,6.765957446808511
136,2022,Mercedes,3,515.0,21.91489361702128
137,2022,Red Bull,1,759.0,32.297872340425535
138,2022,Rest,36,190.0,8.085106382978724
