,year,constructorId,constructorResultsId,raceId,points,constructorName,rank,pointsPct
121,2011,3,270628,16150,5.0,Williams,9,0.26055237102657636
129,2011,164,272065,16150,0.0,HRT,10,0.0
130,2011,166,270667,16150,0.0,Virgin,10,0.0
131,2011,205,270654,16150,0.0,Lotus,10,0.0
113,2010,9,266182,6574,498.0,Red Bull,1,25.951016154247004
108,2010,1,266181,6574,454.0,McLaren,2,23.65815528921313
112,2010,6,266193,6574,396.0,Ferrari,3,20.635747785304847
116,2010,131,266212,6574,214.0,Mercedes,4,11.151641479937467
110,2010,4,266226,6574,163.0,Renault,5,8.494007295466389
109,2010,3,266256,6574,69.0,Williams,6,3.595622720166754
114,2010,10,266260,6574,68.0,Force India,7,3.543512245961438
115,2010,15,266290,6574,44.0,Sauber,8,2.2928608650338718
111,2010,5,266276,6574,13.0,Toro Rosso,9,0.6774361646690985
117,2010,164,266342,6574,0.0,HRT,10,0.0
118,2010,166,266336,6574,0.0,Virgin,10,0.0
119,2010,205,266324,6574,0.0,Lotus,10,0.0
107,2009,23,70702,153,172.0,Brawn,1,26.728826728826725
105,2009,9,70708,153,153.5,Red Bull,2,23.853923853923853
98,2009,1,70737,153,71.0,McLaren,3,11.033411033411033
103,2009,6,70734,153,70.0,Ferrari,4,10.878010878010878
104,2009,7,70746,153,59.5,Toyota,5,9.246309246309247
99,2009,2,70760,153,36.0,BMW Sauber,6,5.594405594405594
100,2009,3,70756,153,34.5,Williams,7,5.361305361305361
101,2009,4,70764,153,26.0,Renault,8,4.040404040404041
106,2009,10,70790,153,13.0,Force India,9,2.0202020202020203
102,2009,5,70798,153,8.0,Toro Rosso,10,1.2432012432012431
92,2008,6,1642,477,172.0,Ferrari,1,24.501424501424502
87,2008,1,1640,477,151.0,McLaren,2,21.50997150997151
88,2008,2,1649,477,135.0,BMW Sauber,3,19.230769230769234
90,2008,4,1680,477,80.0,Renault,4,11.396011396011396
93,2008,7,1685,477,56.0,Toyota,5,7.977207977207977
91,2008,5,1711,477,39.0,Toro Rosso,6,5.555555555555555
95,2008,9,1699,477,29.0,Red Bull,7,4.131054131054131
89,2008,3,1716,477,26.0,Williams,8,3.7037037037037033
97,2008,11,1732,477,14.0,Honda,9,1.9943019943019942
94,2008,8,104,78,0.0,Super Aguri,10,0.0
96,2008,10,1762,477,0.0,Force India,10,0.0
76,2007,1,4650,748,218.0,McLaren,1,32.880844645550525
81,2007,6,4653,748,204.0,Ferrari,2,30.76923076923077
77,2007,2,4685,748,101.0,BMW Sauber,3,15.233785822021115
79,2007,4,4708,748,51.0,Renault,4,7.6923076923076925
78,2007,3,4718,748,33.0,Williams,5,4.97737556561086
84,2007,9,4733,748,24.0,Red Bull,6,3.619909502262444
82,2007,7,4745,748,13.0,Toyota,7,1.9607843137254901
